ID,Name,Description,Category,Group,SeriesName,Estimates,UpperConfidenceLimit,LowerConfidenceLimit,TrendResult
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Durham Region,95,99,91, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Durham Region,5,9,1, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Ontario,92,94,91, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Ontario,8,9,6, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Durham Region Grades 7 and 8,100,100,99, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Durham Region Grades 7 and 8, , , , 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Durham Region Grades 9 to 12,93,98,89, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Durham Region Grades 9 to 12,7,11,2, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Ontario Grades 7 and 8,100,100,99, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Ontario Grades 7 and 8, , , , 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Ontario Grades 9 to 12,91,93,90, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Ontario Grades 9 to 12,9,10,7, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Durham Region Male,92,99,85, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Durham Region Male, , , , 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Durham Region Female,97,99,95, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Durham Region Female,3,5,1, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Ontario Male,90,92,89, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Ontario Male,10,11,8, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,No,Ontario Female,95,96,93, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,Yes,Ontario Female,5,7,4, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2009,Durham Region,9,11,6, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2011,Durham Region,7,10,3, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2013,Durham Region,6,8,4, 
39,Illicit Drug Use in Lifetime,"Any use in lifetime of cocaine, crack, crystal meth, ecstasy, fentanyl, heroin, LSD, mushrooms or synthetic cannabis",Drugs,2015,Durham Region,10,14,6, 
